69,69(体位)
thighhighs_under_boots,长袜、过膝袜等外面再穿着靴子
thighlet,大腿
thinking,思考
third_eye,第三只眼
thong_bikini,丁字式比基尼
thong_leotard,丁字式连身衣
thorns,荆棘
thought_bubble,体现内心想法的会话气泡
thread,线(物体)
three-dimensional_maneuver_gear,立体机动装置
threesome,3P
throne,宝座
through_clothes,隔着衣物爱抚
through_wall,壁尻
thrusters,推进器
thumb_ring,拇指指环
thumbs_up,竖大拇指
tickling,挠痒痒
tie_clip,领带夹
tied_hair,扎好的头发
tied_shirt,把衣服(衣角和下摆)打结
tied_up,捆绑
tiered_tray,分层托盘架
tiger,老虎
tiger_ears,虎耳
tiger_print,虎纹
tiger_tail,虎尾
tight,衣物紧紧的
tight_pants,紧身裤
tiles,瓷砖
tilted_headwear,歪着的头饰
time_paradox,不在同时间线的角色
timestamp,时间戳
tinted_eyewear,有色眼镜
tiptoes,踮起脚尖
tire,轮胎
tissue,纸巾|手帕
tissue_box,纸巾盒
title,标题
title_parody,模仿标题风格
toast,烤吐司
toast_in_mouth,叼着面包
toe_scrunch,蜷着脚趾
toeless_boots,露趾靴
toeless_legwear,露趾裤袜
toenail_polish,指甲油
toenails,脚趾甲
toe-point,趾尖|脚尖
toilet,厕所|坐便器
toilet_paper,厕纸
toilet_use,上厕所
tokin_hat,头襟|兜巾
tokisadame_school_uniform,时定高校校服
tokiwadai_school_uniform,常盘台中学校服
tokkuri,清酒瓶
tomato,番茄
tomboy,假小子
tombstone,墓碑
tomoe_(symbol),巴纹
tomoeda_elementary_school_uniform,友枝小学校服
toned,健壮的
toned_male,健美男
tonfa,东方棍
tongue_out,吐舌头
tongue_piercing,打舌钉
too_many,太多了
tools,工具
tooth,牙
toothbrush,牙刷
top_hat,礼帽
topless,赤裸上身
torch,火炬
torii,鸟居
torn_bodysuit,破损的紧身衣
torn_gloves,破损的手套
torn_jeans,破损的牛仔裤
torn_legwear,破损的裤袜
torn_leotard,破损的连身衣
torn_panties,破损的内裤
torn_pants,破损的裤子
torn_scarf,破损的围巾
torn_shirt,破损的衬衫
torn_shorts,破损的短裤
torn_sleeves,破损的袖子
torn_swimsuit,破损的泳衣
torogao,淫荡的表情
torpedo,鱼雷
torso_grab,抓着躯干
torture,拷问
towel,毛巾
towel_around_neck,披着毛巾的脖子
tower,塔
town,小镇
toy,玩具
track_jacket,运动夹克
track_pants,运动裤
track_suit,运动服
trading_card,集换卡片
traditional_chinese_text,繁体字
traditional_clothes,传统服装|民族服装
traffic_cone,路障
traffic_light,信号灯
train,列车|电车
train_interior,列车内部|电车内部
train_station,车站
training_bra,运动内衣
training_corps_(emblem),训练兵团徽章
trait_connection,角色特征有关联
transformation,变形|变型
transparent,透明的
transparent_background,透明背景
transparent_umbrella,透明雨伞
trash_can,垃圾桶
tray,托盘
treasure_chest,宝箱
treble_clef,高音符号
tree,树
tree_branch,树枝
tree_shade,树荫
tree_stump,树桩
trembling,颤抖
trench_coat,长摆风衣
tress_ribbon,绺发发带
tri_tails,有三股辫子
trial_captain,道馆馆主
triangle,三角形
triangle_mouth,三角嘴
triangular_headpiece,三角头巾
tribal,部落
trick_or_treat,不给糖就捣蛋
trick_or_treatment,紫绿相间的胶衣比基尼
trident,三叉戟
triforce,三角神力
trigger_discipline,手指没放在扳机上
trigram,八卦
tripping,被绊倒
troll_face,嚣张脸
trolling,恶搞行为
tropical_drink,热带饮料|热带风情鸡尾酒
trumpet,小洋号
truth,真相吐槽
tsab_ground_military_uniform,时空管理局军服
t-shirt,T恤
tsundere,傲娇
tube,管子
tubetop,直筒式抹胸
tulip,郁金香
tunic,束腰外衣
turban,穆斯林头巾
turn_pale,脸色苍白
turnaround,前后身对比图
turret,舰炮
turtle,龟
turtleneck,高领服饰
turtleneck_sweater,高领毛衣
tusks,象牙
tuxedo,男式晚间小礼服
twilight,黄昏
twin_drills,双钻头发型
twincest,双胞胎调情|双胞胎乱伦
twins,双胞胎
twisted_torso,躯干夸张地扭曲
twitching,抽搐
twitter_username,推特用户名
two_side_up,小型双股辫
two_tails,有两条尾巴
two-footed_footjob,用双脚腿交
two-handed,用双手
two-handed_handjob,用双手手交
two-sided_fabric,双层样式的服饰画法
two-tone_background,双色调背景
two-tone_hair,双色头发
two-tone_hairband,双色发带
two-tone_skin,双色皮肤
tying,打结(动作)
tying_hair,扎头发
typo,印刷错误
u.a._school_uniform,雄英高中校服
uchikake,白无垢|日式嫁衣
uchiwa,团扇
ufo,不明飞行物
ugly_man,丑男
ultra_beast,超级怪兽
unaligned_breasts,左右乳房动态不一
unbuttoned,解开纽扣后
unbuttoned_shirt,解开纽扣的衬衫
unconscious,失神
under_covers,盖着被子的
under_kotatsu,钻进被炉的
under_table,在桌子下面
underboob,下乳|南半球
underboob_cutout,衣服有下半乳开口
underbust,勒着下胸围的衣服
undercut,帽盔式发型
under-rim_eyewear,无上框眼镜
undershirt,汗衫
undersized_clothes,尺寸过小的衣服
underwater,水下
underwear_only,只穿着内衣
undone_necktie,解开领带
uneven_eyes,大小眼
uneven_twintails,两股辫子大小不一
unicorn,独角兽
union_jack,米字旗
unitard,弹力紧身衣
unmoving_pattern,连续重复的花纹
unsheathing,拔出鞘的
untied,解开的衣物|没穿好的衣物
untied_bikini,解开的比基尼
untucked_shirt,解开的衬衫
untying,解开的
unzipped,拉开拉链的
unzipping,拉开拉链(动作)
updo,头发往上蜷的发型
upper_body,上半身
upper_teeth,露出上排牙齿
upright_straddle,对坐体位
upshirt,从衬衫下方瞥
upshorts,从裙底瞥
upside-down,倒挂的
upskirt,从人的下方往上瞥
uranohoshi_school_uniform,浦之星女学院校服
urethra,尿道
urethral_insertion,尿道插入
used_condom,用过的避孕套
used_tissue,用过的纸巾
ushanka,俄罗斯冬帽
uterus,子宫
utility_belt,战术皮带
uvula,小舌头|口盖垂|悬雍垂
uwabaki,室内鞋
v,比V|剪刀手|胜利手势
v_arms,拘谨的手势
v_over_eye,在眼边比剪刀手
vacuum_cleaner,吸尘器
vaginal,阴道
vaginal_object_insertion,阴道异物插入
valkyrie,女武神
vambraces,下臂护甲
vanishing_point,远景透视画法
varia_suit,强化服
variable_fighter,可变形战机|超时空要塞机体
variations,(变装、变化、变色、成长)对比图
vase,花瓶
vastaya,瓦斯塔亚人
vaulting_horse,跳马(器材)
vegetable,蔬菜
vehicle_focus,载具的特写
veil,面纱
veins,静脉|血管凸起
veiny_penis,静脉凸起的阴茎
vending_machine,自动售货机
venus_symbol,♀
veranda,外廊|缘侧
vertical_stripes,竖条纹
vertical-striped_bikini,竖条纹比基尼
vertical-striped_dress,竖条纹连衣裙
vertical-striped_legwear,竖条纹裤袜
vertical-striped_panties,竖条纹内裤
vertical-striped_shirt,竖条纹衬衫
vertical-striped_skirt,竖条纹裙子
very_dark_skin,黑皮
very_short_hair,很短的头发
vest,背心
vial,试管
vibrator_under_clothes,塞着跳蛋且穿着衣服
vibrator_under_panties,塞着跳蛋且穿着内裤
video_game,电子游戏
viewfinder,相机取景框
vines,藤曼
violin,小提琴
virgin_killer_outfit,处男杀手服
virgin_killer_sweater,处男杀手毛衣
virtual_youtuber,虚拟Youtuber
visible_air,被画出来的空气
visor,面罩|遮阳帽舌|遮阳板
visor_cap,遮阳帽
visual_novel,视觉小说
v-neck,v字领
vocaloid_append,V家歌手的头戴设备
voile,薄纱|巴里纱
volleyball,排球
volleyball_uniform,排球服
vore,丸吞
voyakiloid,弱音(歌手)
v-shaped_eyebrows,眉毛皱成V形(表高傲或愤怒)
w,手指比W
w_arms,双臂摆出W
wa_lolita,和风萝莉
wa_maid,和风女仆
wading,涉水
wading_pool,充气泳池
wagashi,日式点心
waist_apron,女服务员围裙
waist_bow,系在前腰的蝴蝶结
waist_cape,穿在腰部的小披风
waistcoat,马甲
waiter,服务员
waking_up,起床
wakizashi,日本短剑|介错刀
walk-in,进错房间|意外进来看到了不该看的
walking,走路
walking_on_liquid,在液体上行走
wall,墙
wall_of_text,文字背景
wall_slam,壁咚
wallet,钱包
war,战争
wardrobe_error,穿衣方式错了
wardrobe_malfunction,衣服出了意外(如崩开)
wariza,鸭子坐
warship,军舰
washing,洗涤
watch,手表
water,水
water_bottle,水瓶
water_drop,水滴
water_gun,水枪
watercolor_pencil_(medium),水彩笔作画
watercraft,船艇
waterfall,瀑布
watering_can,水壶
watermark,水印
watermelon,西瓜
watermelon_bar,西瓜棒
watson_cross,双腿交叉站姿
waves,波浪
waving_arms,挥舞着手臂
wavy_mouth,薯片嘴型
weapon,武器|兵器
weapon_on_back,背上的武器
weapon_over_shoulder,肩上的武器
web_address,网址
wedding,结婚|婚礼
wedding_band,左手无名指
wedding_ring,结婚戒指
wedgie,嵌入(拉裆部衣物所致)
weighing_scale,秤
weight_conscious,人物在意体重
werewolf,狼人
wet_clothes,湿衣服
wet_hair,湿头发
wet_panties,湿内裤
wet_shirt,湿衬衫
wet_swimsuit,湿泳衣
wetsuit,潜水服
whale,鲸鱼
what_if,另一条世界线
wheel,车轮
wheelbarrow,独轮小推车
wheelchair,轮椅
when_you_see_it,把梗元素藏在图里
whip,鞭子
whip_marks,鞭痕
whipped_cream,生奶油
whisk,搅拌
whisker_markings,脸颊有胡须状痕迹(如狐妖脸上)
whiskers,动物胡须|络腮胡
whispering,讲悄悄话
whistle,口哨
whistle_around_neck,脖子上挂着口哨
white_apron,白色围裙
white_background,白色背景
white_belt,白色腰带
white_bikini,白色比基尼
white_bloomers,白色灯笼裤
white_blouse,白色上衣
white_bodysuit,白色紧身衣
white_border,白色边框
white_bow,白色蝴蝶结
white_bra,白色胸罩
white_camisole,白色女式背心
white_cape,白色斗篷
white_capelet,白色披风
white_cardigan,白色开襟衫
white_cat,白猫
white_choker,白色项圈
white_coat,白色外套
white_collar,白色领子
white_day,白色情人节
white_dress,白色连衣裙
white_flower,白色的花
white_footwear,白色鞋类
white_gloves,白手套
white_hairband,白色发带
white_headband,白色头带
white_headwear,白色头饰
white_hoodie,白色连帽衫
white_jacket,白色夹克
white_kimono,白色和服
white_legwear,白丝袜
white_leotard,白色连身衣
white_nails,白色指甲
white_neckwear,白色领子
white_outline,白色轮廓
white_pants,白色裤子
white_pupils,白色瞳孔
white_ribbon,白色丝带
white_rose,白玫瑰
white_sailor_collar,白色水手领
white_scarf,白色围巾
white_scrunchie,白色发束
white_serafuku,白色水手服
white_shirt,白衬衫
white_shorts,白色短裤
white_skin,白色的皮肤
white_skirt,白色短裙
white_sleeves,白色袖子
white_suit,白色西装
white_sweater,白色毛衣
white_swimsuit,白色泳衣
white_tank_top,白色无袖紧身背心
white_theme,白色主题
white_tiger,白虎(动物)
white_towel,白色毛巾
white_vest,白色背心
white_wings,白色翅膀
white-framed_eyewear,白框眼镜
wicked_dragon_witch_ver._shinjuku_1999,邪龙之魔女ver新宿1999
wide_face,宽脸化
wide_ponytail,宽马尾
wide_shot,广角镜头
wide_sleeves,宽大的袖子
wide_spread_legs,丰盈的大腿
wide-eyed,睁大眼睛
wife_and_wife,百合夫妇
wig,假发
wind,风
wind_chime,风铃
wind_lift,起风效果|上升气流
winding_key,发条钥匙
windmill,风车
window,窗
window_shade,透过窗户照进来的光
windowboxed,套着画框(背景)
windsock,风向带|鲤鱼旗
wine_bottle,酒瓶
wine_glass,红酒杯
wing_collar,燕子领
winged_footwear,带翅膀的鞋子
winged_helmet,带翅膀的头盔
wings,翅膀
winter,冬季
winter_clothes,冬装
wiping_tears,擦眼泪
wire,电线|数据线
wisteria,紫藤
witch,魔女
witch_(madoka_magica),魔女(魔法少女小圆)
witch_hat,女巫帽
wizard_hat,法师帽
wolf,狼
wolf_ears,狼耳朵
wolf_girl,狼女孩
wolf_tail,狼尾巴
wood,木材
wooden_bucket,木桶
wooden_floor,木地板
wooden_sword,木剑
wooden_wall,木墙
world_war_ii,第二次世界大战
wreath,花环
wrench,扳手
wrestling,摔角(运动)
wrestling_outfit,摔角服
wrestling_ring,摔角场
wringing_clothes,拧干衣服
wrist_grab,抓着手腕
wrist_ribbon,腕带
wrist_scrunchie,束腕
wrist_wrap,护腕(布类)
wristwatch,手表
writing,写作
wrong_feet,脚部作画错误
x_hair_ornament,X形发饰
x-ray,透视
yagasuri,箭羽纹
yamakasa,山形花车
yandere,病娇
yaoi,BL|腐|腐向
yarn,毛线
yarn_ball,毛线球
yasogami_school_uniform,八十神高中校服
yawning,打哈欠
year_of_the_dog,狗年
year_of_the_pig,猪年
year_of_the_rat,鼠年
year_of_the_rooster,鸡年
yellow_apron,黄色围裙
yellow_background,黄色背景
yellow_bikini,黄色比基尼
yellow_bodysuit,黄色紧身衣
yellow_bow,黄色的蝴蝶结
yellow_bra,黄色胸罩
yellow_choker,黄色项圈
yellow_dress,黄色连衣裙
yellow_flower,黄色的花
yellow_footwear,黄色鞋类
yellow_gloves,黄色手套
yellow_hairband,黄色发带
yellow_headwear,黄色头饰
yellow_jacket,黄色夹克
yellow_kimono,黄色和服
yellow_legwear,黄色裤袜
yellow_leotard,黄色连身衣
yellow_nails,黄色指甲
yellow_neckwear,黄色领子
yellow_panties,黄色内裤
yellow_ribbon,黄丝带
yellow_rose,黄玫瑰
yellow_scarf,黄色围巾
yellow_sclera,黄色巩膜
yellow_scrunchie,黄色发束
yellow_shirt,黄色衬衫
yellow_shorts,黄色短裤
yellow_skin,黄色皮肤
yellow_skirt,黄色裙子
yellow_sweater,黄色毛衣
yellow_theme,黄色主题
yellow_vest,黄色背心
yellow_wings,黄色的翅膀
yellow-framed_eyewear,黄框眼镜
yes,对
yes-no_pillow,Yes/No枕头
yin_yang,太极图
yordle,约德尔人
you_gonna_get_raped,要被强奸的flag
youkai,妖怪
younger,幼儿化
you're_doing_it_wrong,使用方法错误
yugake,弽
yunomi,茶碗
zabuton,褥垫
zero_suit,Zero装束
zipper,拉链
zipper_pull_tab,拉链的拉片
zombie,僵尸
zombie_pose,僵尸姿势
zouri,日式草鞋
z-ring,Z手环
animalisation,动物化
foodification,食物化
furrification,多毛化
anthropomorphism,拟人化
slimification,史莱姆化
vehicalization,载具化
zombification,僵尸化
adapted_outfit,原设服装改编
alternative_costume,角色换装
alternate_outfit,角色换装
alternative_hat,与原设不同头饰变化
alternate_hat,与原设不同头饰变化
alternative_headwear,与原设不同头饰变化
alternative_weapon,与原设不同武器变化
headwear_switch,头饰互换
hat_switch,头饰互换
no_glasses,去掉了(原设有的)眼镜
no_bandana,去掉了(原设有的)头饰
no_helmet,去掉了(原设有的)头饰
hatless,去掉了(原设有的)头饰
hat-less,去掉了(原设有的)头饰
exchanging_clothes,服饰互换
costume_swap,服饰互换
outfit_switch,服饰互换
modern_clothing,现代改编
costume_combination,服装组合
alternative_wings,与原设不同翅膀
no_fire,无火化
no_horn,无角化
no_tail,无尾化
no_animal_ears,去掉了(原设有的)兽耳
no_mask,去掉了(原设有的)面具
alternative_hair_color,与原设不同发色变化
alternate_haircolor,与原设不同发色变化
alternative_hairstyle,与原设不同发型变化
alternate_hair_style,与原设不同发型变化
alternative_hair_style,与原设不同发型变化
hairdown,披下来的头发
alternative_hair_length,与原设不同头发长度变化
alternative_eye_color,与原设不同瞳色
unusually_open_eyes,(与原设不同)睁眼
personality_swap,人格替换
light_persona,美化
alternate_colors,异色
alternative_color,异色
alternate_element,与原设不同元素
alternative_element,与原设不同元素
palette_swap,色调互换
age_comparison,年龄对比
aged_down,年龄减少
de-aged,年龄减少
aged_up,年龄增加
crossgender,性转
genderbend,性转
sex_change,性转
rule_63,性转
alternate_universe,异世界
scenary,风景
scifi,科幻
sci-fi,科幻
futuristic,科幻
sci_fi,科幻
transparent_gif,透明背景
transparent_png,透明背景
sea,大海
magical_circle,魔法阵
magic_circles,魔法阵
magical_circles,魔法阵
valentines,情人节
valentine's_day,情人节
valentines_day,情人节
xmas,圣诞节
woods,森林/树
outside,户外
outdoor,户外
roof,屋顶
feather,场景飘羽毛
coffee_shop,咖啡厅
starbucks,星巴克
izakaya,居酒屋
class_room,教室
beautiful_detailed_water,漂亮的水
band-aid,创可贴
bandaids,创可贴
band_aids,创可贴
walking_stick,手杖
cuff,手枷
handcuff,警用手铐
shackle,宽手铐
manacles,宽手铐
tattoos,纹身
pareo,莎笼/沙滩浴巾
hands_and_knees,四肢趴地
all-fours,四肢趴地
on_all_fours,四肢趴地
bent-over,翘臀姿势
bending_over,翘臀姿势
bend_over,翘臀姿势
crossed_legs_(sitting),二郎腿
crossed_legs_(standing),二郎腿
crossed_legs_(lying),二郎腿
battle_stance,战斗姿态
hugging_own_legs,抱腿
knee_hug,抱腿
hugging_legs,抱腿
hugging_knees,抱腿
agura,盘腿
on_knees,下跪
raised_leg,抬一只脚
leg_raise,抬一只脚
leg_raised,抬一只脚
lying_down,躺着
laying_down,躺着
laying,躺着
lying_on_stomach,趴着
prone,趴着
on_belly,趴着
on_front,趴着
bridal_carry,公主抱
sitting_on_knees,正坐
sit,坐着
sitting_down,坐着
open_legs,张腿
spread_leg,张腿
squat,蹲下
crouched,蹲下
crouch,蹲下
crouching,蹲下
ass-up_head-down,趴着翘臀
face_down_ass_up,趴着翘臀
w_sitting,割坐
w-legs,割坐
w_legs,割坐
humpbacked,驼背
lying_on_back,仰躺
supine,仰躺
lying_on_side,侧卧
recline,斜倒斜躺姿势
sitting_in_lap,坐在大腿上
kneeling_on_one_leg,单膝跪
butterfly_pose,蝴蝶坐
figure_four_sitting,二郎腿
lotus_position,结跏趺坐
sitting_on,坐在人身上
thigh_straddling,大腿跨骑
thigh_straddle,大腿跨骑
on_one_foot,单腿站立
standing_on_one_foot,单腿站立
on_one_leg,单腿站立
balance,(保持)平衡的姿势
crawling,爬行
jump,跳跃
run,奔跑
wallwalking,走在墙顶上
prostration,失意体前屈/Orz
orz,失意体前屈/Orz
chest_stand,用胸支撑身体
cowering,抱头
crucifixion,磔
faceplant,脸贴地面
battoujutsu_stance,拔刀起手式
full_scorpion,头扑倒在地
stretching,伸懒腰
superhero_landing,三点着地
three-point_landing,三点着地
standing_on_hands,用手倒立
headstand,用头倒立
yoga,瑜伽
scorpion_pose,蝎子姿势
slouching,伛
one_leg_raised,抬起腿
knees-on-chest,膝盖顶到胸部
outstretched_leg,腿部伸展
splits,分开
pigeon_pose,鸽子姿势
boobs,胸部
tits,胸部
breast,胸部
pettanko,贫乳 (A)
flat_chested,贫乳 (A)
large_boobs,大胸 (D)
large_tits,大胸 (D)
large_breast,大胸 (D)
big_breasts,大胸 (D)
huge_tits,巨乳 (E)
huge_boobs,巨乳 (E)
gigantic_breast,魔乳 (F)
bandage_bra,缠胸布
bandagebra,缠胸布
broach,胸针
chest_gem,胸前有宝石
strap_cleavage,乳房之间的带子
paisura,乳房之间的带子
headphones_on_breasts,耳机压胸
under_boob,南半球
underbreast,南半球
bandaid_on_nipples,乳头贴着创可贴
bandaids_on_nipple,乳头贴着创可贴
bandaid_on_nipple,乳头贴着创可贴
belt_bra,皮带束胸
untied_bra,(前面)解开的胸罩
unhooked_bra,(前面)解开的胸罩
unfastened_bra,(前面)解开的胸罩
bra_down,拉下的胸罩
bra_off,摘下的胸罩
bra_padding,胸垫
breast_pads,胸垫
fake_breasts,胸垫
bra_stuffing,胸垫
breast_pad,胸垫
breast_stuffing,胸垫
chestplate,胸甲
breast_plate,胸甲
chest_plate,胸甲
breastless_bra,高露出度胸罩
nippleless_bra,高露出度胸罩
tube_top,直筒式抹胸
nipple,乳头
puffy_nipple,大乳头
areolae_slip,乳晕微露
breast_to_breast,胸部贴着胸部
breasts_grab,揉胸
grabbing_breasts,揉胸
boob_grab,揉胸
holding_breasts,抱着胸部
head_in_breasts,头埋在胸里/洗面奶
breasts_squeeze,从两侧挤胸
breasts_against_glass,胸压玻璃
headboob,压在头上的乳房
tapioca_challenge,不用手喝珍珠奶茶挑战
breast_cover,遮着乳房
breast_covering,遮着乳房
handbra,遮着乳房
flat_grab,抓着贫乳
hand_up_shirt,手伸进衬衫下面
hand_in_shirt,手伸进衬衫下面
nipple_pinch,玩弄乳头
flat_envy,平胸歧视
breast_reduction,缩胸
bust_measuring,罩杯测量
breast_measuring,罩杯测量
flying_button,飞出的纽扣
convenient_breasts,自然的胸部
inconvenient_breasts,不自然的胸部
oversized_breast_cup,过大的罩杯
weighing_breasts,测量乳房重量
areolas,乳晕
areola,乳晕
glands_of_montgomery,蒙哥马利腺体
big_areolae,大乳晕
large_areola,大乳晕
big_areola,大乳晕
back_boob,从背后可看到的胸部
perky_nipples,激凸的乳头/隐约可见的乳头
erect_nipple,激凸的乳头/隐约可见的乳头
erect_nipples,激凸的乳头/隐约可见的乳头
erect_nipples_under_clothes,激凸的乳头/隐约可见的乳头
sunken_nipples,内陷乳头
long_nipples,长乳头
nipslip,乳头走光
nippleslip,乳头走光
nip_slip,乳头走光
nippleless,没画出乳头
nipple_hair,乳头毛
side_boobs,侧乳
side_boob,侧乳
sideboobs,侧乳
boob_slip,胸部走光
breasts_out,胸部露出
breasts_out_of_clothes,胸部露出
breast_outside,露出一只乳房
asymmetrical_breasts,不对称的胸部
lopsided_breasts,不对称的胸部
floating_breasts,漂浮的乳房
hanging_boob,(俯身)双乳下垂
veiny_breasts,看见静脉的乳房
pointy_breasts,尖乳房
very_perky_breasts,尖乳房
torpedo_breasts,尖乳房
nursing_bra,哺乳用文胸
shelf_bra,无顶文胸/露出乳头的胸罩
breastless_clothing,露胸的衣服
breast_curtain,乳帘
breast_veil,乳帘
chest_binder,平胸衬衫
cinderella_bust,Feast 灰姑娘系列胸罩
tit_window,露出的乳沟
cleavage_window,露出的乳沟
heart_cleavage_cutout,露出的乳沟
boob_window,露出的乳沟
nipple_cutout,衣服破损露出乳头
nippleless_clothing,能露出乳头的衣物
panties_on_breasts,在乳房上穿内裤
taut_blouse,绷紧的衬衫
breast_pillow,乳房枕头
face_to_breasts,脸贴乳房
face_to_pecs,脸贴胸肌
breast_biting,咬胸
boob_chomp,咬胸
breastfeeding,哺乳
breast_feed,哺乳
suckle,哺乳
nipple_biting,咬乳头
nipple_bite,咬乳头
licking_nipple,舔乳头
licking_nipples,舔乳头
breast_pull,拉胸
breast_punch,锤胸
breast_slap,拍胸
hand_in_bra,手在胸罩里
nipple_flick,拨动乳头
nipple_press,按乳头
nipple_push,压乳头
nipple_rub,揉搓乳头
nipple-to-nipple,乳头贴乳头
card_between_breasts,卡片在乳沟里
arm_between_breasts,胳膊在乳沟里
person_between_breasts,乳房夹人
tied_breast,绑起来的乳房
breast_mousepad,乳房鼠标垫
carried_breast_rest,拿着乳房
bust_cup,乳沟作杯子
breast_cup,乳沟作杯子
breasts_cup,乳沟作杯子
alcohol_between_breasts,乳沟作杯子
cum_between_breasts,射在胸上
semen_on_breasts,射在胸上
cum_on_tits,射在胸上
food_on_breasts,胸上有食物
object_on_breast,胸上有物体
tawawa_challenge,tawawa挑战/用胸撑起平放的手机
object_on_pectorals,胸肌上有物体
oppai_challenge,欧派挑战
censoring,有码
censor,有码
uncensoring,无码
censor_bars,黑条打码
convenient_censorship,简单巧妙的打码
bubble_filter,泡泡打码
hair_on_breasts,头发披在胸上
hair_over_crotch,头发盖在胯下
hair_over_one_breast,头发盖在一边胸上
convenient_bath_steam,蒸汽/雾气打码
convenient_tail,尾巴遮住三点/用尾巴打码
wing_censor,用翅膀打码
censor_wings,用翅膀打码
intimate_covering,自然的打码
clothes_in_front,衣服在前面挡着
mosaic_censor,马赛克
rough_censoring,马赛克
pixel_censor,马赛克
non-intimate_covering,不自然的打码
can't_show_this,不能显示这个
outside_of_play_area,离开了可游玩区域
treasure_mark_censor,宝藏标记打码
one_finger_selfie_challenge,单指自拍挑战
fake_censor,假打码
unnecessary_censorship,假打码
censored_food,打码食品
censored_violence,打码暴力行为
eye_censor,眼部打码
pointless_censorship,敷衍的打码
skyscrapers,摩天大楼
neon_lights,霓虹灯
fences,栏杆
ruin,废墟
shops,商店
store,商店
buildings,建筑
wafuku,和服
traditional_japanese_clothes,和服
japanese_clothing,和服
body_suit,紧身衣
cheongsam,旗袍
qipao,旗袍
chinese_dress,旗袍
one-piece_dress,连衣裙
gym_clothes,运动服
pyjamas,睡衣
pajama,睡衣
pyjama,睡衣
sukumizu,学校泳衣
school_swimsuits,学校泳衣
seifuku,学校制服
school_uniforms,学校制服
schoolgirl,学校制服
school_girl,学校制服
seethrough,透明装
transparent_clothing,透明装
sheer_clothing,透明装
swimsuits,泳装
swim_suit,泳装
bathing_suit,泳装
mizugi,泳装
ripped_clothing,破烂衣服
torn_clothing,破烂衣服
ripped_clothes,破烂衣服
undergarments,内衣
uniforms,制服
goth,哥特风格
lolita,洛丽塔风格
nude_apron,裸体围裙
hadaka_apron,裸体围裙
nude_overalls,裸体工作服
nude_ribbon,裸体丝带
stripes,横条花纹
polka_dots,点状花纹
polka-dot,点状花纹
frill,皱边
ruffles,皱边
frilly,皱边
frilled,皱边
clothing_down,褪下衣物
open_yukata,敞开的和服
shoulderless_dress,无肩带连衣裙
summerdress,太阳裙/背心裙
sun_dress,太阳裙/背心裙
sheath_dress,包臀裙
half_apron,腰围裙
pettiskirt,蓬蓬裙
tutu,芭蕾舞裙
organza_lace,透明硬纱/蕾丝花边
microbikini,迷你比基尼
seashell_bra,贝壳比基尼
seashell_bikini,贝壳比基尼
shell_bra,贝壳比基尼
sling_bikini,弹弓泳衣/吊带泳衣/V字泳衣
slingbikini,弹弓泳衣/吊带泳衣/V字泳衣
sling_swimsuit,弹弓泳衣/吊带泳衣/V字泳衣
armoured_dress,战甲裙
ballet_leotard,体操服
gymnast_leotard,体操服
open_back_dress,露背连衣裙
open-back_dress,露背连衣裙
open_back,露背装
backless,露背装
biker_suit,骑行套装
bike_suit,骑行套装
evening_dress,晚会礼服
gi,武道服
harem_clothes,舞娘服
varsity_jacket,棒球服
one-piece,一体式泳衣
sailor_uniform,水手服
sailor_suit,水手服
santa_suit,圣诞老人服装
santa_outfit,圣诞老人服装
straightjacket,拘束服
straight_jacket,拘束服
wedding_kimono,白无垢/日式嫁衣
gray_theme,灰色
cel_shading,卡通渲染
ff_gradient,最终幻想式渐变
inverted_colors,色彩反转
restricted_palette,色块风格
monochromatic,单色画
black_and_white,纯黑白色/黑白照片化/灰度
grayscale,纯黑白色/黑白照片化/灰度
greyscale_with_colored_background,黑白角色与有色背景
colored_with_greyscale_background,有色角色与黑白背景
partially_monochrome,部分上色
muted_colors,哑光
neon_palette,霓虹色彩
pale_colors,苍白的颜色
pastel_colors,柔和色彩
rainbows,彩虹
colorized,上色
spot_colors,黑白画中的少量颜色
bordered,边框
windowbox,边框
framed,画框
frame,画框
outside_of_border,一部分画到了背景框外面
out_of_border,一部分画到了背景框外面
cropped_background,一部分画到了背景框外面
fading_border,褪色边框
fading_borders,褪色边框
camera_frame,相机取景框
bust_chart,胸围图
breast_chart,胸围图
breast_comparison,胸围图
boob_chart,胸围图
character_chart,人设图
reference_sheet,设定图
diagram,图表
move_chart,动作演示图
relationship_graph,关系表
relationship_chart,关系表
seating_chart,座次表
cropped,遭到裁剪
fake_scrollbar,假的滚动条
eyes_out_of_frame,头部脱框
glitch,画面噪点
isometric,等轴图
letterbox,宽银幕格式
letter_boxed,宽银幕格式
pillarbox,柱状画布背景
line-up,一排人
line_up,一排人
mosaic_art,马赛克艺术
photomosaic,马赛克拼图
negative_space,大量留白
omake,附图
partially_underwater_shot,部分水下拍摄
social_media_composition,社交媒体整合
symmetrical,左右对称
polar_opposites,两极对称
trim_marks,裁剪标记
crop_marks,裁剪标记
zoomlayer,人物立绘缩放(剪影)图层
in_profile,侧脸
straight-on,正脸
cropped_torso_upper_body,上半身出框
cropped_shoulders,肩膀出框
cropped_arms,手臂出框
selfiemirror,自拍镜
staring_at_breasts,瞄着乳房
averting_eyes,移开视线
averted_eyes,移开视线
looking_over_shoulder,回眸
turning,回眸
looking_aside,看向侧面
